id,text,label,language,source,notes
NLP0001,The sidewalk is clear and passable.,no_violation,english,chatgpt_synthetic,synthetic thesis prototype row
NLP0002,"clear naman po ang pedestrian area, walang sagabal.",no_violation,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0003,May private car na nakaparada sa eskinita na nagdudulot ng traffic.,illegal_parking,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0004,Paki-check po ang metal frame na iniwan sa main road.,road_obstruction,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0005,May mga fallen branches na naiwan sa intersection at sagabal sa daan.,garbage_debris,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0006,Construction material obstruction: steel bars nakaharang sa main road.,construction_materials,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0007,Paki-check po ang old furniture na iniwan sa eskinita.,road_obstruction,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0008,"May nakaharang na signage sa pedestrian lane, delikado sa motorista.",road_obstruction,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0009,There are garbage bags sa sidewalk blocking the path.,garbage_debris,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0010,The daan is clear and passable.,no_violation,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0011,kaninang umaga may obstruction sa barangay road: crate.,road_obstruction,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0012,Garbage/debris obstruction po sa main road: kalat scattered.,garbage_debris,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0013,"kanina pa clear naman po ang kalsada, walang sagabal.",no_violation,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0014,Malinis ang pedestrian area at walang obstruction.,no_violation,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0015,"Road obstruction po, may barrier na obstructing sa daanan.",road_obstruction,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0016,"May nakaparadang jeep sa sidewalk, hindi makadaan nang maayos ang mga tao.",illegal_parking,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0017,A tricycle is parked near the market area and blocks the way.,illegal_parking,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0018,Malinis ang public road at walang obstruction.,no_violation,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0019,May mga kalat na naiwan sa tapat ng tindahan at sagabal sa daan.,garbage_debris,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0020,Paki-validate po yung steel bars na nakalagay near the barangay hall.,construction_materials,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0021,"kaninang umaga clear naman po ang barangay road, walang sagabal.",no_violation,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0022,May signboard na blocking sa sidewalk na nagdudulot ng traffic.,sidewalk_obstruction,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0023,Construction material obstruction: buhangin nakaharang sa eskinita.,construction_materials,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0024,simula kagabi may obstruction sa kalsada: signage.,road_obstruction,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0025,Paki-check po ang traffic cone na nasa gitna sa intersection.,road_obstruction,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0026,this morning may private car na nakaharang habang nakaparada at nakakasikip sa pedestrian lane.,illegal_parking,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0027,this morning may construction materials sa barangay road na sagabal sa daan.,construction_materials,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0028,Pedestrians cannot pass because a signboard is blocking the sidewalk.,sidewalk_obstruction,english,chatgpt_synthetic,synthetic thesis prototype row
NLP0029,kanina pa may truck na naka-park at nakakasikip sa gilid ng daan.,illegal_parking,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0030,Nakatambak ang tiles malapit sa school at nakakaabala sa road clearing.,construction_materials,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0031,Illegal parking po: motorcycle nakaparada sa eskinita causing pedestrians to walk on the road.,illegal_parking,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0032,Garbage/debris obstruction po sa eskinita: debris iniwan.,garbage_debris,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0033,may nakaharang sa sidewalk: paninda.,sidewalk_obstruction,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0034,"May nakaparadang sasakyan sa pedestrian lane, hindi makadaan nang maayos ang mga tao.",illegal_parking,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0035,"for several hours clear naman po ang public road, walang sagabal.",no_violation,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0036,Paki-validate po yung buhangin na iniwan malapit sa palengke.,construction_materials,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0037,A delivery van is parked sa barangay road and blocks the way.,illegal_parking,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0038,"May nakaharang na crate sa sidewalk, delikado sa motorista.",road_obstruction,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0039,kanina pa may nakaharang sa sidewalk: tarpaulin stand.,sidewalk_obstruction,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0040,during rush hour may tambak na fallen branches sa main road.,garbage_debris,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0041,"Sidewalk obstruction po, mesa ng vendor naka-display malapit sa school.",sidewalk_obstruction,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0042,A motorcycle is parked sa sidewalk and blocks the way.,illegal_parking,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0043,"May nakaharang na traffic cone malapit sa palengke, delikado sa motorista.",road_obstruction,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0044,"May nakaharang na large container sa public road, delikado sa motorista.",road_obstruction,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0045,The public road is clear and passable.,no_violation,english,chatgpt_synthetic,synthetic thesis prototype row
NLP0046,"Sidewalk obstruction po, motorcycle sa sidewalk occupying sa sidewalk.",sidewalk_obstruction,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0047,May steel bars sa daan na hindi pa nililipat.,construction_materials,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0048,"May nakaparadang motorcycle sa eskinita, hindi makadaan nang maayos ang mga tao.",illegal_parking,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0049,May mga basura na naiwan malapit sa school at sagabal sa daan.,garbage_debris,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0050,Paki-validate po yung buhangin na iniwan sa main road.,construction_materials,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0051,Paki-check po ang old furniture na obstructing sa intersection.,road_obstruction,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0052,"Wala pong violation sa area, malinis ang kalsada.",no_violation,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0053,May construction materials na iniwan sa main road please verify this report.,construction_materials,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0054,Illegal parking po: truck iniwan malapit sa school visible po sa daan.,illegal_parking,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0055,"Sidewalk obstruction po, tarpaulin stand occupying sa pedestrian lane.",sidewalk_obstruction,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0056,May traffic cone na iniwan near the market area please verify this report.,road_obstruction,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0057,May paninda na nakaharang sa sidewalk visible po sa daan.,sidewalk_obstruction,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0058,May plastic waste na iniwan sa main road .,garbage_debris,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0059,since yesterday may delivery van na nakaharang habang nakaparada at nakakasikip sa kalsada.,illegal_parking,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0060,May plastic waste na blocking near the barangay hall visible po sa daan.,garbage_debris,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0061,A wooden barricade is blocking the road sa main road.,road_obstruction,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0062,May tiles sa daan na hindi pa nililipat.,construction_materials,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0063,may nakaharang sa sidewalk: stall.,sidewalk_obstruction,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0064,"Sidewalk obstruction po, stall nakalagay sa barangay road.",sidewalk_obstruction,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0065,Paki-validate po yung tiles na nakalagay sa kalsada.,construction_materials,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0066,Paki-check po ang old furniture na nakaharang malapit sa school.,road_obstruction,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0067,"for several hours clear naman po ang kalsada, walang sagabal.",no_violation,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0068,"Wala pong violation sa area, maayos ang pedestrian area.",no_violation,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0069,"Sidewalk obstruction po, sidewalk vendor nakatayo sa public road.",sidewalk_obstruction,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0070,"Road obstruction po, may old furniture na nasa gitna sa daanan.",road_obstruction,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0071,"Sidewalk obstruction po, mesa ng vendor occupying near the barangay hall.",sidewalk_obstruction,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0072,Construction material obstruction: hollow blocks stored near the market area.,construction_materials,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0073,Nakatambak ang construction materials sa barangay road at nakakaabala sa road clearing.,construction_materials,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0074,Report ko po yung jeep na parked sa kalsada.,illegal_parking,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0075,May motorcycle sa sidewalk na nakalagay sa sidewalk and it blocks the public way.,sidewalk_obstruction,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0076,may tambak na debris sa kalsada.,garbage_debris,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0077,"Wala pong violation sa area, maayos ang daan.",no_violation,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0078,May sirang kahoy na iniwan sa tapat ng tindahan kaya nahihirapan dumaan ang tao.,garbage_debris,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0079,during rush hour may obstruction near the barangay hall: crate.,road_obstruction,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0080,Illegal parking po: tricycle naka-park sa kalsada kailangan pong ma-check.,illegal_parking,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0081,Malinis ang kalsada at walang obstruction.,no_violation,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0082,"May nakaparadang sasakyan sa gilid ng daan, hindi makadaan nang maayos ang mga tao.",illegal_parking,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0083,Paki-check po ang metal frame na obstructing sa public road.,road_obstruction,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0084,"this morning clear naman po ang daan, walang sagabal.",no_violation,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0085,Pedestrians cannot pass because a paninda is blocking the sidewalk.,sidewalk_obstruction,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0086,The pedestrian area is clear and passable.,no_violation,english,chatgpt_synthetic,synthetic thesis prototype row
NLP0087,Illegal parking po: motorcycle naka-park sa intersection and it blocks the public way.,illegal_parking,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0088,Construction material obstruction: sako ng cement stored sa gilid ng daan.,construction_materials,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0089,May tindahan extension sa bangketa kaya napipilitan ang tao dumaan sa kalsada.,sidewalk_obstruction,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0090,"Wala pong violation sa area, malinis ang sidewalk.",no_violation,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0091,"today clear naman po ang barangay road, walang sagabal.",no_violation,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0092,Paki-verify po yung motorcycle sa sidewalk na nakatayo sa sidewalk.,sidewalk_obstruction,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0093,May signboard na blocking sa sidewalk kaya nahihirapan dumaan ang tao.,sidewalk_obstruction,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0094,There are plastic waste sa sidewalk blocking the path.,garbage_debris,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0095,Report ko po yung truck na naka-park near the market area.,illegal_parking,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0096,"May nakaharang na crate sa barangay road, delikado sa motorista.",road_obstruction,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0097,May barrier na obstructing sa barangay road visible po sa daan.,road_obstruction,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0098,"May nakaharang na kariton sa eskinita, delikado sa motorista.",road_obstruction,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0099,Paki-check po ang traffic cone na nasa gitna sa barangay road.,road_obstruction,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0100,for several hours may nakaharang sa sidewalk: signboard.,sidewalk_obstruction,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0101,Illegal parking po: truck nakaharang habang nakaparada malapit sa school kaya nahihirapan dumaan ang tao.,illegal_parking,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0102,during rush hour may nakaharang sa sidewalk: tindahan extension.,sidewalk_obstruction,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0103,Paki-verify po yung signboard na nakatayo sa sidewalk.,sidewalk_obstruction,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0104,Illegal parking po: van naka-park sa pedestrian lane visible po sa daan.,illegal_parking,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0105,Pedestrians cannot pass because a stall is blocking the sidewalk.,sidewalk_obstruction,english,chatgpt_synthetic,synthetic thesis prototype row
NLP0106,Paki-validate po yung hollow blocks na nakaharang sa kalsada.,construction_materials,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0107,May sirang kahoy na scattered malapit sa palengke kailangan pong ma-check.,garbage_debris,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0108,simula kagabi may sasakyan na nakaharang habang nakaparada at nakakasikip sa main road.,illegal_parking,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0109,Garbage/debris obstruction po sa main road: debris scattered.,garbage_debris,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0110,during rush hour may delivery van na naka-park at nakakasikip sa pedestrian lane.,illegal_parking,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0111,Paki-verify po yung stall na blocking sa sidewalk.,sidewalk_obstruction,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0112,May barrier na nakalagay sa sidewalk visible po sa daan.,road_obstruction,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0113,kaninang umaga may nakaharang sa sidewalk: motorcycle sa sidewalk.,sidewalk_obstruction,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0114,may nakaharang sa sidewalk: mesa ng vendor.,sidewalk_obstruction,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0115,May gravel na blocking sa public road at nakakaabala sa mga dumadaan.,construction_materials,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0116,Construction material obstruction: buhangin nakaharang near the barangay hall.,construction_materials,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0117,"Sidewalk obstruction po, motorcycle sa sidewalk nakalagay sa public road.",sidewalk_obstruction,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0118,May mga sako ng basura na naiwan near the barangay hall at sagabal sa daan.,garbage_debris,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0119,May motorcycle na nakaharang habang nakaparada sa tapat ng tindahan na nagdudulot ng traffic.,illegal_parking,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0120,May sako ng cement na nakalagay sa sidewalk kaya nahihirapan dumaan ang tao.,construction_materials,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0121,"Wala pong violation sa area, safe ang kalsada.",no_violation,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0122,May sako ng basura na iniwan sa intersection causing pedestrians to walk on the road.,garbage_debris,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0123,"Sidewalk obstruction po, display rack nakatayo near the barangay hall.",sidewalk_obstruction,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0124,Paki-check po ang fallen branches na nakatambak sa pedestrian lane.,garbage_debris,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0125,May mga garbage bags na naiwan sa public road at sagabal sa daan.,garbage_debris,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0126,since yesterday may kotse na nakaharang habang nakaparada at nakakasikip sa pedestrian lane.,illegal_parking,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0127,"Road obstruction po, may wooden barricade na obstructing sa daanan.",road_obstruction,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0128,this morning may tambak na debris sa public road.,garbage_debris,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0129,kaninang umaga may nakaharang sa sidewalk: mesa ng vendor.,sidewalk_obstruction,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0130,Paki-check po ang sirang upuan na iniwan sa intersection.,road_obstruction,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0131,May gravel sa daan na hindi pa nililipat.,construction_materials,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0132,since yesterday may tambak na sako ng basura sa kalsada.,garbage_debris,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0133,"ngayong hapon clear naman po ang kalsada, walang sagabal.",no_violation,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0134,kaninang umaga may tambak na tambak na basura sa gilid ng daan.,garbage_debris,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0135,"Road obstruction po, may old furniture na nakaharang sa daanan.",road_obstruction,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0136,May sirang upuan na nakalagay sa public road and it blocks the public way.,road_obstruction,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0137,"kaninang umaga clear naman po ang daan, walang sagabal.",no_violation,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0138,Paki-check po ang wooden barricade na nakalagay sa gilid ng daan.,road_obstruction,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0139,Nakatambak ang tiles sa pedestrian lane at nakakaabala sa road clearing.,construction_materials,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0140,Paki-verify po yung stall na naka-display sa sidewalk.,sidewalk_obstruction,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0141,Paki-validate po yung bricks na nakaharang malapit sa school.,construction_materials,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0142,Nakatambak ang bricks near the market area at nakakaabala sa road clearing.,construction_materials,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0143,Garbage/debris obstruction po sa harap ng bahay: kalat iniwan.,garbage_debris,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0144,A private car is parked sa gilid ng daan and blocks the way.,illegal_parking,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0145,"May nakaharang na sirang upuan sa harap ng bahay, delikado sa motorista.",road_obstruction,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0146,Paki-check po ang traffic cone na nakaharang malapit sa school.,road_obstruction,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0147,"Wala pong violation sa area, passable ang barangay road.",no_violation,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0148,Illegal parking po: kotse parked sa kalsada visible po sa daan.,illegal_parking,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0149,kanina pa may tambak na fallen branches sa pedestrian lane.,garbage_debris,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0150,Report ko po yung sasakyan na parked sa main road.,illegal_parking,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0151,A metal frame is blocking the road sa harap ng bahay.,road_obstruction,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0152,"May nakaparadang sasakyan sa eskinita, hindi makadaan nang maayos ang mga tao.",illegal_parking,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0153,Report ko po yung van na nakaharang habang nakaparada sa pedestrian lane.,illegal_parking,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0154,May signage na nakaharang sa harap ng bahay visible po sa daan.,road_obstruction,taglish,chatgpt_synthetic,synthetic thesis prototype row
NLP0155,Pedestrians cannot pass because a mesa ng vendor is blocking the sidewalk.,sidewalk_obstruction,english,chatgpt_synthetic,synthetic thesis prototype row
